Lat,Long,Program,Institution,Conference,Region,Altitude,Local Metro or Area,Media Market,inTransition,Notes,Location,State
32.4487364,-99.7331439,Abilene Christian,Abilene Christian University,WAC,South Central,524,"Abilene, TX","Abilene, TX",0,,"Abilene, Texas",Texas
38.8338816,-104.8213634,Air Force,U.S. Air Force Academy,Mountain West,Mountain,1832,Denver,Denver,0,,"Colorado Springs, Colo.",Colorado
41.0814447,-81.5190053,Akron,University of Akron,Mid-American,Great Lakes,291,Cleveland,Cleveland,0,,"Akron, Ohio",Ohio
33.2098407,-87.5691735,Alabama,University of Alabama,SEC,South,67,Birmingham,Birmingham,0,,"Tuscaloosa, Ala.",Alabama
34.7889792,-86.5719369,Alabama A&M,Alabama A&M University,SWAC,South,220,"Huntsville, AL-TN","Huntsville, AL-TN",0,,"Normal, Ala.",Alabama
32.3668052,-86.2999689,Alabama State,Alabama State University,SWAC,South,73,"Montgomery, AL","Montgomery, AL",0,,"Montgomery, Ala.",Alabama
42.6525793,-73.7562317,Albany,University at Albany,America East,Northeast,45,"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",0,,"Albany, N.Y.",New York
31.8759264,-91.1402026,Alcorn State,Alcorn State University,SWAC,South,66,"Jackson, MS-AL-LA","Jackson, MS-AL-LA",0,,"Lorman, Miss.",Mississippi
38.9371,-77.0869,American,American University,Patriot,Mid-Atlantic,7,"Washington, D.C./Baltimore","Washington, D.C./Baltimore",0,,"Washington, D.C.",District of Columbia
36.216795,-81.6745517,Appalachian State,Appalachian State University,Sun Belt,Southeast,981,"Hickory-Morganton, NC-TN","Hickory-Morganton, NC-TN",0,,"Boone, N.C.",North Carolina
32.2217429,-110.926479,Arizona,University of Arizona,Pac-12,West,759,"Tucson, AZ","Tucson, AZ",0,,"Tucson, Ariz.",Arizona
33.414768,-111.9093095,Arizona State,Arizona State University,Pac-12,West,360,Phoenix,Phoenix,0,,"Tempe, Ariz.",Arizona
36.0625795,-94.1574263,Arkansas,"University of Arkansas, Fayetteville",SEC,South Central,427,"Fayetteville-Springdale-Rogers, AR-MO-OK","Fayetteville-Springdale-Rogers, AR-MO-OK",0,,"Fayetteville, Ark.",Arkansas
35.8422967,-90.7042791,Arkansas State,Arkansas State University,Sun Belt,South Central,98,"Jonesboro, AR-MO","Jonesboro, AR-MO",0,,"Jonesboro, Ark.",Arkansas
